Model,Mean RMSE,Std RMSE,Mean MAE,Std MAE
Bagging (RandomForest),145.92467452696786,2.2300772506307545,108.82328062016639,1.6429058416064806
Subagging (BaggingRegressor),134.53187466082989,2.406820877148192,97.84288560088456,1.45110982358448
Boosting (XGBoost),142.53542785644532,1.8650601348681233,106.1546646118164,1.1541796266020334
