feature,importance
atemp,0.21914128115857445
hum,0.18906106348649984
temp,0.09838940085858432
windspeed,0.07840847938052765
yr_0,0.03785690153935022
yr_1,0.03698105549096949
season_4,0.020104850147415976
weathersit_2,0.01165105971126042
